mineral,date,data_transformation,obs_value
Cobalt,2009-09,USD,35726.74076185047
Cobalt,2009-10,USD,32312.20822646528
Cobalt,2009-11,USD,37960.59352142108
Cobalt,2009-12,USD,37856.0537912862
Cobalt,2010-01,USD,40702.42324725084
Cobalt,2010-02,USD,41508.01462904912
Cobalt,2010-03,USD,37414.13584117035
Cobalt,2010-04,USD,42039.98290111145
Cobalt,2010-05,USD,40474.34561128526
Cobalt,2010-06,USD,38947.72727272727
Cobalt,2010-07,USD,38062.5
Cobalt,2010-08,USD,38464.7619047619
Cobalt,2010-09,USD,41186.36363636364
Cobalt,2010-10,USD,38897.61904761905
Cobalt,2010-11,USD,37104.77272727273
Cobalt,2010-12,USD,37616.66666666667
Cobalt,2011-01,USD,39212.5
Cobalt,2011-02,USD,39777.75
Cobalt,2011-03,USD,38264.13043478261
Cobalt,2011-04,USD,37023.61111111111
Cobalt,2011-05,USD,38157.5
Cobalt,2011-06,USD,36019.31818181818
Cobalt,2011-07,USD,35113.09523809524
Cobalt,2011-08,USD,35931.36363636364
Cobalt,2011-09,USD,34529.54545454545
Cobalt,2011-10,USD,30607.19047619048
Cobalt,2011-11,USD,28690.90909090909
Cobalt,2011-12,USD,30808.75
Cobalt,2012-01,USD,33006.66666666667
Cobalt,2012-02,USD,31772.61904761905
Cobalt,2012-03,USD,31142.72727272727
Cobalt,2012-04,USD,30795.65789473684
Cobalt,2012-05,USD,30516.81818181818
Cobalt,2012-06,USD,28831.90789473684
Cobalt,2012-07,USD,28394.07954545455
Cobalt,2012-08,USD,29050.36363636364
Cobalt,2012-09,USD,29221.25
Cobalt,2012-10,USD,26896.73913043478
Cobalt,2012-11,USD,23563.40909090909
Cobalt,2012-12,USD,23976.0
Cobalt,2013-01,USD,25518.09090909091
Cobalt,2013-02,USD,25441.325
Cobalt,2013-03,USD,25316.975
Cobalt,2013-04,USD,26209.45238095238
Cobalt,2013-05,USD,27984.38095238095
Cobalt,2013-06,USD,30047.5375
Cobalt,2013-07,USD,29290.04347826087
Cobalt,2013-08,USD,26803.42857142857
Cobalt,2013-09,USD,28680.42857142857
Cobalt,2013-10,USD,27037.95652173913
Cobalt,2013-11,USD,26172.47619047619
Cobalt,2013-12,USD,26587.775
Cobalt,2014-01,USD,28134.56818181818
Cobalt,2014-02,USD,31081.85
Cobalt,2014-03,USD,30699.42857142857
Cobalt,2014-04,USD,29771.85
Cobalt,2014-05,USD,29993.225
Cobalt,2014-06,USD,30458.59523809524
Cobalt,2014-07,USD,31697.19565217391
Cobalt,2014-08,USD,32341.5565
Cobalt,2014-09,USD,32350.73863636364
Cobalt,2014-10,USD,31142.42391304348
Cobalt,2014-11,USD,30752.1375
Cobalt,2014-12,USD,30945.21428571429
Cobalt,2015-01,USD,30749.47619047619
Cobalt,2015-02,USD,29155.375
Cobalt,2015-03,USD,27568.78409090909
Cobalt,2015-04,USD,28827.275
Cobalt,2015-05,USD,30066.57894736842
Cobalt,2015-06,USD,30650.38636363636
Cobalt,2015-07,USD,31579.86956521739
Cobalt,2015-08,USD,29243.95
Cobalt,2015-09,USD,27714.30681818182
Cobalt,2015-10,USD,27499.04545454545
Cobalt,2015-11,USD,24413.70238095238
Cobalt,2015-12,USD,23951.17857142857
Cobalt,2016-01,USD,23134.6
Cobalt,2016-02,USD,22275.88095238095
Cobalt,2016-03,USD,22982.52380952381
Cobalt,2016-04,USD,23000.5
Cobalt,2016-05,USD,23413.625
Cobalt,2016-06,USD,23692.72727272727
Cobalt,2016-07,USD,25085.52380952381
Cobalt,2016-08,USD,26296.59090909091
Cobalt,2016-09,USD,26625.0
Cobalt,2016-10,USD,28205.66666666667
Cobalt,2016-11,USD,29258.40909090909
Cobalt,2016-12,USD,31589.375
Cobalt,2017-01,USD,34720.38095238095
Cobalt,2017-02,USD,43005.0
Cobalt,2017-03,USD,52765.21739130435
Cobalt,2017-04,USD,55305.55555555556
Cobalt,2017-05,USD,54941.94047619048
Cobalt,2017-06,USD,57449.45454545455
Cobalt,2017-07,USD,58548.90476190476
Cobalt,2017-08,USD,58465.13636363636
Cobalt,2017-09,USD,60128.5
Cobalt,2017-10,USD,59905.86363636364
Cobalt,2017-11,USD,62118.04545454545
Cobalt,2017-12,USD,72632.05263157895
Cobalt,2018-01,USD,77293.52272727274
Cobalt,2018-02,USD,80792.6
Cobalt,2018-03,USD,87614.90476190476
Cobalt,2018-04,USD,90782.5
Cobalt,2018-05,USD,90250.0
Cobalt,2018-06,USD,81188.09523809524
Cobalt,2018-07,USD,70647.72727272726
Cobalt,2018-08,USD,63302.29545454545
Cobalt,2018-09,USD,62210.325
Cobalt,2018-10,USD,60626.78260869565
Cobalt,2018-11,USD,54962.93181818182
Cobalt,2018-12,USD,55263.15789473684
Cobalt,2019-01,USD,40704.54545454545
Cobalt,2019-02,USD,32100.0
Cobalt,2019-03,USD,31333.33333333333
Cobalt,2019-04,USD,33500.0
Cobalt,2019-05,USD,34166.66666666667
Cobalt,2019-06,USD,28809.0
Cobalt,2019-07,USD,27340.32608695652
Cobalt,2019-08,USD,30136.57142857143
Cobalt,2019-09,USD,35720.42857142857
Cobalt,2019-10,USD,35263.08695652174
Cobalt,2019-11,USD,35510.16666666667
Cobalt,2019-12,USD,33547.4625
Cobalt,2020-01,USD,32213.02272727273
Cobalt,2020-02,USD,33542.075
Cobalt,2020-03,USD,31119.04545454545
Cobalt,2020-04,USD,29565.0
Cobalt,2020-05,USD,29562.59210526316
Cobalt,2020-06,USD,29074.34090909091
Cobalt,2020-07,USD,28517.02173913043
Cobalt,2020-08,USD,32914.88095238095
Cobalt,2020-09,USD,33482.10227272727
Cobalt,2020-10,USD,33227.875
Cobalt,2020-11,USD,32238.88095238095
Cobalt,2020-12,USD,31882.28571428571
Cobalt,2021-01,USD,37883.775
Cobalt,2021-02,USD,47516.45
Cobalt,2021-03,USD,52414.67391304348
Cobalt,2021-04,USD,49020.7
Cobalt,2021-05,USD,44214.85
Cobalt,2021-06,USD,44149.36363636364
Cobalt,2021-07,USD,51649.02272727273
Cobalt,2021-08,USD,51640.5
Cobalt,2021-09,USD,51797.90909090909
Cobalt,2021-10,USD,54779.28571428571
Cobalt,2021-11,USD,60412.5
Cobalt,2021-12,USD,69347.19047619047
Cobalt,2022-01,USD,70527.05
Cobalt,2022-02,USD,71573.6
Cobalt,2022-03,USD,80457.4347826087
Cobalt,2022-04,USD,81790.38095238095
Cobalt,2022-05,USD,77721.36363636365
Cobalt,2022-06,USD,72057.72727272726
Cobalt,2022-07,USD,55713.2380952381
Cobalt,2022-08,USD,49308.82608695652
Cobalt,2022-09,USD,51515.40909090909
Cobalt,2022-10,USD,51509.2380952381
Cobalt,2022-11,USD,51504.59090909091
Cobalt,2022-12,USD,51497.77272727273
Cobalt,2023-01,USD,48874.36363636364
Cobalt,2023-02,USD,36615.0125
Cobalt,2023-03,USD,33865.13043478261
Cobalt,2023-04,USD,34498.75
Cobalt,2023-05,USD,33139.63043478261
Cobalt,2023-06,USD,29350.63636363636
Cobalt,2023-07,USD,32982.29761904762
Cobalt,2023-08,USD,32980.65217391304
Cobalt,2023-09,USD,32981.88095238095
Cobalt,2023-10,USD,32982.75
Cobalt,2023-11,USD,33003.72727272727
Cobalt,2023-12,USD,30025.66666666667
Cobalt,2024-01,USD,28691.42391304348
Cobalt,2024-02,USD,28271.04761904762
Cobalt,2024-03,USD,28282.35714285714
Cobalt,2024-04,USD,27997.06818181818
Cobalt,2024-05,USD,27440.23913043478
Cobalt,2024-06,USD,26825.4
Cobalt,2024-07,USD,26401.21739130435
Cobalt,2024-08,USD,25111.34090909091
Cobalt,2024-09,USD,24080.35714285714
Cobalt,2024-10,USD,24229.21739130435
Cobalt,2024-11,USD,24292.2619047619
Cobalt,2024-12,USD,24300.0
Cobalt,2025-01,USD,23779.95652173913
Cobalt,2025-02,USD,21721.075
Cobalt,2025-03,USD,31534.71428571429
Cobalt,2025-04,USD,33313.63636363636
Cobalt,2025-05,USD,33260.34090909091
